TransactionID,UserID,CourseID,TransactionDate,UserName,Age,AgeGroup,Gender,CourseName,CourseCategory,CourseType,CourseLevel,Year,Month,MonthName,Quarter,DayOfWeek
TT00019,U00018,CR00047,2025-04-21,nicole97,24,18-25,Female,Natural Language Processing,Artificial Intelligence,Paid,Intermediate,2025,4,April,2,Monday
TT00020,U00018,CR00045,2025-01-12,nicole97,24,18-25,Female,Financial Modeling,Finance,Free,Advanced,2025,1,January,1,Sunday
TT00021,U00018,CR00001,2025-03-24,nicole97,24,18-25,Female,Python Basics,Programming,Paid,Beginner,2025,3,March,1,Monday
TT00022,U00018,CR00029,2025-01-20,nicole97,24,18-25,Female,Natural Language Processing,Machine Learning,Free,Beginner,2025,1,January,1,Monday
TT00023,U00028,CR00040,2025-05-06,zgomez,30,26-35,Female,Leadership in Projects,Project Management,Paid,Beginner,2025,5,May,2,Tuesday
TT00024,U00028,CR00010,2025-08-12,zgomez,30,26-35,Female,3D Modeling,Design,Free,Advanced,2025,8,August,3,Tuesday
TT00025,U00028,CR00056,2025-03-04,zgomez,30,26-35,Female,Google Ads Mastery,Digital Marketing,Paid,Advanced,2025,3,March,1,Tuesday
TT00026,U00028,CR00021,2025-04-17,zgomez,30,26-35,Female,Data Analysis with Python,Data Science,Free,Intermediate,2025,4,April,2,Thursday
TT00027,U00028,CR00031,2025-04-20,zgomez,30,26-35,Female,Network Security,Cybersecurity,Free,Intermediate,2025,4,April,2,Sunday
TT00028,U00045,CR00043,2025-05-06,rodneystevens,23,18-25,Female,Corporate Finance,Finance,Free,Beginner,2025,5,May,2,Tuesday
TT00029,U00045,CR00036,2025-04-28,rodneystevens,23,18-25,Female,Agile Project Management,Project Management,Free,Beginner,2025,4,April,2,Monday
TT00030,U00045,CR00045,2025-07-10,rodneystevens,23,18-25,Female,Financial Modeling,Finance,Free,Advanced,2025,7,July,3,Thursday
TT00031,U00045,CR00035,2025-07-27,rodneystevens,23,18-25,Female,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,2025,7,July,3,Sunday
TT00032,U00048,CR00022,2025-11-19,willie71,19,18-25,Male,Data Visualization,Data Science,Free,Beginner,2025,11,November,4,Wednesday
TT00033,U00048,CR00016,2025-03-21,willie71,19,18-25,Male,Digital Marketing,Marketing,Free,Intermediate,2025,3,March,1,Friday
TT00034,U00048,CR00037,2025-05-25,willie71,19,18-25,Male,Scrum Essentials,Project Management,Free,Intermediate,2025,5,May,2,Sunday
TT00035,U00048,CR00025,2025-05-08,willie71,19,18-25,Male,Statistical Analysis,Data Science,Paid,Beginner,2025,5,May,2,Thursday
TT00036,U00055,CR00058,2025-04-29,hallandrea,31,26-35,Female,Social Media Strategy,Digital Marketing,Free,Beginner,2025,4,April,2,Tuesday
TT00037,U00055,CR00057,2025-05-17,hallandrea,31,26-35,Female,SEO for E-commerce,Digital Marketing,Paid,Advanced,2025,5,May,2,Saturday
TT00038,U00055,CR00014,2025-09-21,hallandrea,31,26-35,Female,Sales Mastery,Business,Free,Advanced,2025,9,September,3,Sunday
TT00039,U00055,CR00016,2025-06-02,hallandrea,31,26-35,Female,Digital Marketing,Marketing,Free,Intermediate,2025,6,June,2,Monday
TT00040,U00055,CR00051,2025-09-14,hallandrea,31,26-35,Female,HTML & CSS,Web Development,Paid,Advanced,2025,9,September,3,Sunday
TT00041,U00071,CR00025,2025-03-02,kevin94,30,26-35,Female,Statistical Analysis,Data Science,Paid,Beginner,2025,3,March,1,Sunday
TT00042,U00071,CR00048,2025-03-18,kevin94,30,26-35,Female,AI Ethics,Artificial Intelligence,Free,Beginner,2025,3,March,1,Tuesday
TT00043,U00071,CR00015,2025-10-16,kevin94,30,26-35,Female,Leadership Essentials,Business,Paid,Beginner,2025,10,October,4,Thursday
TT00044,U00083,CR00028,2025-12-08,james92,16,<18,Male,Deep Learning,Machine Learning,Paid,Advanced,2025,12,December,4,Monday
TT00045,U00083,CR00054,2025-09-09,james92,16,<18,Male,Backend Development with Node.js,Web Development,Free,Beginner,2025,9,September,3,Tuesday
TT00046,U00083,CR00044,2025-09-21,james92,16,<18,Male,Personal Finance,Finance,Paid,Intermediate,2025,9,September,3,Sunday
TT00047,U00083,CR00040,2025-11-15,james92,16,<18,Male,Leadership in Projects,Project Management,Paid,Beginner,2025,11,November,4,Saturday
TT00048,U00085,CR00035,2025-11-11,scottluna,22,18-25,Female,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,2025,11,November,4,Tuesday
TT00049,U00085,CR00053,2025-06-15,scottluna,22,18-25,Female,React for Beginners,Web Development,Free,Advanced,2025,6,June,2,Sunday
TT00050,U00085,CR00002,2025-03-01,scottluna,22,18-25,Female,Java Programming,Programming,Free,Intermediate,2025,3,March,1,Saturday
TT00051,U00109,CR00002,2025-04-26,amyschmidt,15,<18,Female,Java Programming,Programming,Free,Intermediate,2025,4,April,2,Saturday
TT00052,U00109,CR00023,2025-02-11,amyschmidt,15,<18,Female,Machine Learning Fundamentals,Data Science,Free,Intermediate,2025,2,February,1,Tuesday
TT00053,U00109,CR00054,2025-02-21,amyschmidt,15,<18,Female,Backend Development with Node.js,Web Development,Free,Beginner,2025,2,February,1,Friday
TT00054,U00112,CR00024,2025-10-21,williamswilliam,34,26-35,Female,Big Data Analytics,Data Science,Paid,Advanced,2025,10,October,4,Tuesday
TT00055,U00112,CR00036,2025-04-07,williamswilliam,34,26-35,Female,Agile Project Management,Project Management,Free,Beginner,2025,4,April,2,Monday
TT00056,U00112,CR00007,2025-02-22,williamswilliam,34,26-35,Female,UI/UX Design,Design,Free,Advanced,2025,2,February,1,Saturday
TT00057,U00112,CR00016,2025-06-05,williamswilliam,34,26-35,Female,Digital Marketing,Marketing,Free,Intermediate,2025,6,June,2,Thursday
TT00058,U00112,CR00023,2025-02-25,williamswilliam,34,26-35,Female,Machine Learning Fundamentals,Data Science,Free,Intermediate,2025,2,February,1,Tuesday
TT00059,U00117,CR00008,2025-10-15,kristin26,19,18-25,Female,Photoshop Mastery,Design,Free,Advanced,2025,10,October,4,Wednesday
TT00060,U00117,CR00027,2025-08-03,kristin26,19,18-25,Female,Neural Networks,Machine Learning,Free,Advanced,2025,8,August,3,Sunday
TT00061,U00117,CR00001,2025-11-28,kristin26,19,18-25,Female,Python Basics,Programming,Paid,Beginner,2025,11,November,4,Friday
TT00062,U00126,CR00060,2025-07-17,zhall,23,18-25,Female,Content Creation,Digital Marketing,Free,Beginner,2025,7,July,3,Thursday
TT00063,U00126,CR00036,2025-10-01,zhall,23,18-25,Female,Agile Project Management,Project Management,Free,Beginner,2025,10,October,4,Wednesday
TT00064,U00126,CR00050,2025-01-06,zhall,23,18-25,Female,Computer Vision,Artificial Intelligence,Paid,Beginner,2025,1,January,1,Monday
TT00065,U00126,CR00028,2025-04-16,zhall,23,18-25,Female,Deep Learning,Machine Learning,Paid,Advanced,2025,4,April,2,Wednesday
TT00066,U00128,CR00027,2025-02-21,misty15,35,26-35,Female,Neural Networks,Machine Learning,Free,Advanced,2025,2,February,1,Friday
TT00067,U00128,CR00054,2025-12-10,misty15,35,26-35,Female,Backend Development with Node.js,Web Development,Free,Beginner,2025,12,December,4,Wednesday
TT00068,U00128,CR00050,2025-01-03,misty15,35,26-35,Female,Computer Vision,Artificial Intelligence,Paid,Beginner,2025,1,January,1,Friday
TT00069,U00133,CR00052,2025-06-05,mccarthyscott,21,18-25,Male,JavaScript Mastery,Web Development,Free,Beginner,2025,6,June,2,Thursday
TT00070,U00133,CR00010,2025-07-19,mccarthyscott,21,18-25,Male,3D Modeling,Design,Free,Advanced,2025,7,July,3,Saturday
TT00071,U00133,CR00041,2025-10-10,mccarthyscott,21,18-25,Male,Financial Accounting,Finance,Paid,Beginner,2025,10,October,4,Friday
TT00072,U00133,CR00055,2025-07-05,mccarthyscott,21,18-25,Male,Full-Stack Web Development,Web Development,Paid,Advanced,2025,7,July,3,Saturday
TT00073,U00133,CR00004,2025-03-24,mccarthyscott,21,18-25,Male,Advanced Python,Programming,Free,Beginner,2025,3,March,1,Monday
TT00074,U00134,CR00055,2025-02-11,syoung,26,26-35,Female,Full-Stack Web Development,Web Development,Paid,Advanced,2025,2,February,1,Tuesday
TT00075,U00134,CR00012,2025-12-29,syoung,26,26-35,Female,Business Strategy,Business,Paid,Advanced,2025,12,December,4,Monday
TT00076,U00134,CR00030,2025-08-17,syoung,26,26-35,Female,Reinforcement Learning,Machine Learning,Free,Intermediate,2025,8,August,3,Sunday
TT00077,U00134,CR00011,2025-10-17,syoung,26,26-35,Female,Entrepreneurship 101,Business,Paid,Intermediate,2025,10,October,4,Friday
TT00078,U00144,CR00032,2025-12-28,rodgerspaul,24,18-25,Female,Ethical Hacking,Cybersecurity,Free,Advanced,2025,12,December,4,Sunday
TT00079,U00144,CR00020,2025-10-03,rodgerspaul,24,18-25,Female,Email Marketing,Marketing,Free,Intermediate,2025,10,October,4,Friday
TT00080,U00144,CR00042,2025-07-13,rodgerspaul,24,18-25,Female,Investment Strategies,Finance,Free,Intermediate,2025,7,July,3,Sunday
TT00081,U00144,CR00012,2025-03-18,rodgerspaul,24,18-25,Female,Business Strategy,Business,Paid,Advanced,2025,3,March,1,Tuesday
TT00082,U00147,CR00007,2025-09-02,patricklaura,30,26-35,Male,UI/UX Design,Design,Free,Advanced,2025,9,September,3,Tuesday
TT00083,U00147,CR00021,2025-12-03,patricklaura,30,26-35,Male,Data Analysis with Python,Data Science,Free,Intermediate,2025,12,December,4,Wednesday
TT00084,U00147,CR00044,2025-09-30,patricklaura,30,26-35,Male,Personal Finance,Finance,Paid,Intermediate,2025,9,September,3,Tuesday
TT00085,U00147,CR00001,2025-11-14,patricklaura,30,26-35,Male,Python Basics,Programming,Paid,Beginner,2025,11,November,4,Friday
TT00086,U00149,CR00021,2025-03-11,jacksonanthony,17,<18,Female,Data Analysis with Python,Data Science,Free,Intermediate,2025,3,March,1,Tuesday
TT00087,U00149,CR00032,2025-02-24,jacksonanthony,17,<18,Female,Ethical Hacking,Cybersecurity,Free,Advanced,2025,2,February,1,Monday
TT00088,U00149,CR00049,2025-07-06,jacksonanthony,17,<18,Female,Deep Learning,Artificial Intelligence,Paid,Intermediate,2025,7,July,3,Sunday
TT00089,U00152,CR00033,2025-05-12,hhill,19,18-25,Female,Cybersecurity Fundamentals,Cybersecurity,Free,Intermediate,2025,5,May,2,Monday
TT00090,U00152,CR00001,2025-11-05,hhill,19,18-25,Female,Python Basics,Programming,Paid,Beginner,2025,11,November,4,Wednesday
TT00091,U00152,CR00008,2025-04-20,hhill,19,18-25,Female,Photoshop Mastery,Design,Free,Advanced,2025,4,April,2,Sunday
TT00092,U00161,CR00024,2025-06-27,lawrence17,25,18-25,Female,Big Data Analytics,Data Science,Paid,Advanced,2025,6,June,2,Friday
TT00093,U00161,CR00042,2025-03-11,lawrence17,25,18-25,Female,Investment Strategies,Finance,Free,Intermediate,2025,3,March,1,Tuesday
TT00094,U00161,CR00008,2025-04-16,lawrence17,25,18-25,Female,Photoshop Mastery,Design,Free,Advanced,2025,4,April,2,Wednesday
TT00095,U00161,CR00054,2025-10-07,lawrence17,25,18-25,Female,Backend Development with Node.js,Web Development,Free,Beginner,2025,10,October,4,Tuesday
TT00096,U00166,CR00002,2025-01-03,campbellkelsey,33,26-35,Male,Java Programming,Programming,Free,Intermediate,2025,1,January,1,Friday
TT00097,U00166,CR00004,2025-07-11,campbellkelsey,33,26-35,Male,Advanced Python,Programming,Free,Beginner,2025,7,July,3,Friday
TT00098,U00166,CR00020,2025-12-11,campbellkelsey,33,26-35,Male,Email Marketing,Marketing,Free,Intermediate,2025,12,December,4,Thursday
TT00099,U00166,CR00018,2025-10-30,campbellkelsey,33,26-35,Male,Social Media Marketing,Marketing,Free,Advanced,2025,10,October,4,Thursday
TT00100,U00169,CR00013,2025-04-20,vasquezjohn,24,18-25,Male,Finance for Startups,Business,Free,Advanced,2025,4,April,2,Sunday
TT00101,U00169,CR00044,2025-04-29,vasquezjohn,24,18-25,Male,Personal Finance,Finance,Paid,Intermediate,2025,4,April,2,Tuesday
TT00102,U00169,CR00034,2025-11-24,vasquezjohn,24,18-25,Male,Data Encryption,Cybersecurity,Paid,Intermediate,2025,11,November,4,Monday
TT00103,U00169,CR00027,2025-02-15,vasquezjohn,24,18-25,Male,Neural Networks,Machine Learning,Free,Advanced,2025,2,February,1,Saturday
TT00104,U00173,CR00016,2025-04-03,fernando38,31,26-35,Male,Digital Marketing,Marketing,Free,Intermediate,2025,4,April,2,Thursday
TT00105,U00173,CR00029,2025-07-26,fernando38,31,26-35,Male,Natural Language Processing,Machine Learning,Free,Beginner,2025,7,July,3,Saturday
TT00106,U00173,CR00048,2025-09-13,fernando38,31,26-35,Male,AI Ethics,Artificial Intelligence,Free,Beginner,2025,9,September,3,Saturday
TT00107,U00177,CR00021,2025-11-24,torreschristine,29,26-35,Female,Data Analysis with Python,Data Science,Free,Intermediate,2025,11,November,4,Monday
TT00108,U00177,CR00006,2025-04-09,torreschristine,29,26-35,Female,Graphic Design Basics,Design,Paid,Advanced,2025,4,April,2,Wednesday
TT00109,U00177,CR00060,2025-09-30,torreschristine,29,26-35,Female,Content Creation,Digital Marketing,Free,Beginner,2025,9,September,3,Tuesday
TT00110,U00177,CR00002,2025-03-19,torreschristine,29,26-35,Female,Java Programming,Programming,Free,Intermediate,2025,3,March,1,Wednesday
TT00111,U00177,CR00055,2025-04-14,torreschristine,29,26-35,Female,Full-Stack Web Development,Web Development,Paid,Advanced,2025,4,April,2,Monday
TT00112,U00178,CR00021,2025-06-24,gonzaleslisa,20,18-25,Male,Data Analysis with Python,Data Science,Free,Intermediate,2025,6,June,2,Tuesday
TT00113,U00178,CR00048,2025-08-14,gonzaleslisa,20,18-25,Male,AI Ethics,Artificial Intelligence,Free,Beginner,2025,8,August,3,Thursday
TT00114,U00178,CR00023,2025-02-08,gonzaleslisa,20,18-25,Male,Machine Learning Fundamentals,Data Science,Free,Intermediate,2025,2,February,1,Saturday
TT00115,U00178,CR00014,2025-05-16,gonzaleslisa,20,18-25,Male,Sales Mastery,Business,Free,Advanced,2025,5,May,2,Friday
TT00116,U00191,CR00043,2025-08-28,foleypaul,34,26-35,Male,Corporate Finance,Finance,Free,Beginner,2025,8,August,3,Thursday
TT00117,U00191,CR00058,2025-06-04,foleypaul,34,26-35,Male,Social Media Strategy,Digital Marketing,Free,Beginner,2025,6,June,2,Wednesday
TT00118,U00191,CR00056,2025-06-08,foleypaul,34,26-35,Male,Google Ads Mastery,Digital Marketing,Paid,Advanced,2025,6,June,2,Sunday
TT00119,U00192,CR00054,2025-05-30,nathanieldorsey,17,<18,Male,Backend Development with Node.js,Web Development,Free,Beginner,2025,5,May,2,Friday
TT00120,U00192,CR00014,2025-11-14,nathanieldorsey,17,<18,Male,Sales Mastery,Business,Free,Advanced,2025,11,November,4,Friday
TT00121,U00192,CR00060,2025-09-06,nathanieldorsey,17,<18,Male,Content Creation,Digital Marketing,Free,Beginner,2025,9,September,3,Saturday
TT00122,U00192,CR00043,2025-04-21,nathanieldorsey,17,<18,Male,Corporate Finance,Finance,Free,Beginner,2025,4,April,2,Monday
TT00123,U00192,CR00004,2025-11-03,nathanieldorsey,17,<18,Male,Advanced Python,Programming,Free,Beginner,2025,11,November,4,Monday
TT00124,U00198,CR00041,2025-02-16,brian71,30,26-35,Female,Financial Accounting,Finance,Paid,Beginner,2025,2,February,1,Sunday
TT00125,U00198,CR00016,2025-08-27,brian71,30,26-35,Female,Digital Marketing,Marketing,Free,Intermediate,2025,8,August,3,Wednesday
TT00126,U00198,CR00032,2025-04-21,brian71,30,26-35,Female,Ethical Hacking,Cybersecurity,Free,Advanced,2025,4,April,2,Monday
TT00127,U00198,CR00020,2025-06-20,brian71,30,26-35,Female,Email Marketing,Marketing,Free,Intermediate,2025,6,June,2,Friday
TT00128,U00208,CR00036,2025-03-24,kingrobin,18,18-25,Female,Agile Project Management,Project Management,Free,Beginner,2025,3,March,1,Monday
TT00129,U00208,CR00013,2025-06-18,kingrobin,18,18-25,Female,Finance for Startups,Business,Free,Advanced,2025,6,June,2,Wednesday
TT00130,U00208,CR00052,2025-08-22,kingrobin,18,18-25,Female,JavaScript Mastery,Web Development,Free,Beginner,2025,8,August,3,Friday
TT00131,U00208,CR00047,2025-10-29,kingrobin,18,18-25,Female,Natural Language Processing,Artificial Intelligence,Paid,Intermediate,2025,10,October,4,Wednesday
TT00132,U00208,CR00025,2025-03-16,kingrobin,18,18-25,Female,Statistical Analysis,Data Science,Paid,Beginner,2025,3,March,1,Sunday
TT00133,U00216,CR00059,2025-03-16,taylorelizabeth,23,18-25,Male,Affiliate Marketing,Digital Marketing,Free,Intermediate,2025,3,March,1,Sunday
TT00134,U00216,CR00054,2025-11-29,taylorelizabeth,23,18-25,Male,Backend Development with Node.js,Web Development,Free,Beginner,2025,11,November,4,Saturday
TT00135,U00216,CR00036,2025-05-08,taylorelizabeth,23,18-25,Male,Agile Project Management,Project Management,Free,Beginner,2025,5,May,2,Thursday
TT00136,U00216,CR00024,2025-05-01,taylorelizabeth,23,18-25,Male,Big Data Analytics,Data Science,Paid,Advanced,2025,5,May,2,Thursday
TT00137,U00216,CR00017,2025-12-30,taylorelizabeth,23,18-25,Male,SEO Mastery,Marketing,Free,Advanced,2025,12,December,4,Tuesday
TT00138,U00220,CR00010,2025-04-19,laura88,20,18-25,Male,3D Modeling,Design,Free,Advanced,2025,4,April,2,Saturday
TT00139,U00220,CR00014,2025-04-25,laura88,20,18-25,Male,Sales Mastery,Business,Free,Advanced,2025,4,April,2,Friday
TT00140,U00220,CR00017,2025-04-16,laura88,20,18-25,Male,SEO Mastery,Marketing,Free,Advanced,2025,4,April,2,Wednesday
TT00141,U00220,CR00003,2025-04-08,laura88,20,18-25,Male,C++ for Beginners,Programming,Free,Beginner,2025,4,April,2,Tuesday
TT00142,U00238,CR00012,2025-03-25,joshuaescobar,24,18-25,Female,Business Strategy,Business,Paid,Advanced,2025,3,March,1,Tuesday
TT00143,U00238,CR00041,2025-11-20,joshuaescobar,24,18-25,Female,Financial Accounting,Finance,Paid,Beginner,2025,11,November,4,Thursday
TT00144,U00238,CR00001,2025-08-24,joshuaescobar,24,18-25,Female,Python Basics,Programming,Paid,Beginner,2025,8,August,3,Sunday
TT00145,U00238,CR00052,2025-10-27,joshuaescobar,24,18-25,Female,JavaScript Mastery,Web Development,Free,Beginner,2025,10,October,4,Monday
TT00146,U00238,CR00002,2025-10-06,joshuaescobar,24,18-25,Female,Java Programming,Programming,Free,Intermediate,2025,10,October,4,Monday
TT00147,U00251,CR00043,2025-04-16,summersjamie,28,26-35,Female,Corporate Finance,Finance,Free,Beginner,2025,4,April,2,Wednesday
TT00148,U00251,CR00059,2025-04-11,summersjamie,28,26-35,Female,Affiliate Marketing,Digital Marketing,Free,Intermediate,2025,4,April,2,Friday
TT00149,U00251,CR00040,2025-01-04,summersjamie,28,26-35,Female,Leadership in Projects,Project Management,Paid,Beginner,2025,1,January,1,Saturday
TT00150,U00260,CR00060,2025-06-08,heather26,35,26-35,Male,Content Creation,Digital Marketing,Free,Beginner,2025,6,June,2,Sunday
TT00151,U00260,CR00006,2025-01-15,heather26,35,26-35,Male,Graphic Design Basics,Design,Paid,Advanced,2025,1,January,1,Wednesday
TT00152,U00260,CR00039,2025-09-15,heather26,35,26-35,Male,Project Planning,Project Management,Paid,Advanced,2025,9,September,3,Monday
TT00153,U00260,CR00028,2025-02-08,heather26,35,26-35,Male,Deep Learning,Machine Learning,Paid,Advanced,2025,2,February,1,Saturday
TT00154,U00260,CR00026,2025-11-23,heather26,35,26-35,Male,Intro to Machine Learning,Machine Learning,Free,Intermediate,2025,11,November,4,Sunday
TT00155,U00265,CR00004,2025-12-20,william96,15,<18,Male,Advanced Python,Programming,Free,Beginner,2025,12,December,4,Saturday
TT00156,U00265,CR00010,2025-01-14,william96,15,<18,Male,3D Modeling,Design,Free,Advanced,2025,1,January,1,Tuesday
TT00157,U00265,CR00059,2025-03-22,william96,15,<18,Male,Affiliate Marketing,Digital Marketing,Free,Intermediate,2025,3,March,1,Saturday
TT00158,U00265,CR00042,2025-04-24,william96,15,<18,Male,Investment Strategies,Finance,Free,Intermediate,2025,4,April,2,Thursday
TT00159,U00265,CR00060,2025-02-25,william96,15,<18,Male,Content Creation,Digital Marketing,Free,Beginner,2025,2,February,1,Tuesday
TT00160,U00272,CR00051,2025-06-10,wvasquez,25,18-25,Male,HTML & CSS,Web Development,Paid,Advanced,2025,6,June,2,Tuesday
TT00161,U00272,CR00022,2025-06-20,wvasquez,25,18-25,Male,Data Visualization,Data Science,Free,Beginner,2025,6,June,2,Friday
TT00162,U00272,CR00044,2025-08-24,wvasquez,25,18-25,Male,Personal Finance,Finance,Paid,Intermediate,2025,8,August,3,Sunday
TT00163,U00282,CR00007,2025-12-20,eandrews,19,18-25,Male,UI/UX Design,Design,Free,Advanced,2025,12,December,4,Saturday
TT00164,U00282,CR00020,2025-06-11,eandrews,19,18-25,Male,Email Marketing,Marketing,Free,Intermediate,2025,6,June,2,Wednesday
TT00165,U00282,CR00029,2025-03-07,eandrews,19,18-25,Male,Natural Language Processing,Machine Learning,Free,Beginner,2025,3,March,1,Friday
TT00166,U00282,CR00014,2025-11-18,eandrews,19,18-25,Male,Sales Mastery,Business,Free,Advanced,2025,11,November,4,Tuesday
TT00167,U00282,CR00046,2025-04-11,eandrews,19,18-25,Male,AI for Beginners,Artificial Intelligence,Paid,Beginner,2025,4,April,2,Friday
TT00168,U00292,CR00005,2025-10-04,andrewbrown,33,26-35,Male,Full Stack Development,Programming,Free,Beginner,2025,10,October,4,Saturday
TT00169,U00292,CR00038,2025-04-04,andrewbrown,33,26-35,Male,Risk Management,Project Management,Paid,Intermediate,2025,4,April,2,Friday
TT00170,U00293,CR00028,2025-11-13,brian93,25,18-25,Female,Deep Learning,Machine Learning,Paid,Advanced,2025,11,November,4,Thursday
TT00171,U00293,CR00016,2025-12-10,brian93,25,18-25,Female,Digital Marketing,Marketing,Free,Intermediate,2025,12,December,4,Wednesday
TT00172,U00293,CR00025,2025-01-22,brian93,25,18-25,Female,Statistical Analysis,Data Science,Paid,Beginner,2025,1,January,1,Wednesday
TT00173,U00293,CR00049,2025-01-15,brian93,25,18-25,Female,Deep Learning,Artificial Intelligence,Paid,Intermediate,2025,1,January,1,Wednesday
TT00174,U00298,CR00059,2025-08-22,steven02,32,26-35,Male,Affiliate Marketing,Digital Marketing,Free,Intermediate,2025,8,August,3,Friday
TT00175,U00298,CR00026,2025-09-12,steven02,32,26-35,Male,Intro to Machine Learning,Machine Learning,Free,Intermediate,2025,9,September,3,Friday
TT00176,U00298,CR00039,2025-07-16,steven02,32,26-35,Male,Project Planning,Project Management,Paid,Advanced,2025,7,July,3,Wednesday
TT00177,U00298,CR00040,2025-01-06,steven02,32,26-35,Male,Leadership in Projects,Project Management,Paid,Beginner,2025,1,January,1,Monday
TT00178,U00301,CR00003,2025-06-10,shale,26,26-35,Male,C++ for Beginners,Programming,Free,Beginner,2025,6,June,2,Tuesday
TT00179,U00301,CR00037,2025-07-24,shale,26,26-35,Male,Scrum Essentials,Project Management,Free,Intermediate,2025,7,July,3,Thursday
TT00180,U00301,CR00049,2025-04-24,shale,26,26-35,Male,Deep Learning,Artificial Intelligence,Paid,Intermediate,2025,4,April,2,Thursday
TT00181,U00301,CR00030,2025-01-12,shale,26,26-35,Male,Reinforcement Learning,Machine Learning,Free,Intermediate,2025,1,January,1,Sunday
TT00182,U00303,CR00014,2025-04-06,fcollins,35,26-35,Male,Sales Mastery,Business,Free,Advanced,2025,4,April,2,Sunday
TT00183,U00303,CR00053,2025-04-08,fcollins,35,26-35,Male,React for Beginners,Web Development,Free,Advanced,2025,4,April,2,Tuesday
TT00184,U00303,CR00039,2025-08-15,fcollins,35,26-35,Male,Project Planning,Project Management,Paid,Advanced,2025,8,August,3,Friday
TT00185,U00310,CR00010,2025-04-23,davidbarrera,26,26-35,Female,3D Modeling,Design,Free,Advanced,2025,4,April,2,Wednesday
TT00186,U00310,CR00023,2025-04-04,davidbarrera,26,26-35,Female,Machine Learning Fundamentals,Data Science,Free,Intermediate,2025,4,April,2,Friday
TT00187,U00310,CR00037,2025-09-07,davidbarrera,26,26-35,Female,Scrum Essentials,Project Management,Free,Intermediate,2025,9,September,3,Sunday
TT00188,U00315,CR00051,2025-10-16,stephanie14,31,26-35,Female,HTML & CSS,Web Development,Paid,Advanced,2025,10,October,4,Thursday
TT00189,U00315,CR00045,2025-12-26,stephanie14,31,26-35,Female,Financial Modeling,Finance,Free,Advanced,2025,12,December,4,Friday
TT00190,U00315,CR00060,2025-08-30,stephanie14,31,26-35,Female,Content Creation,Digital Marketing,Free,Beginner,2025,8,August,3,Saturday
TT00191,U00321,CR00043,2025-05-06,mhammond,28,26-35,Male,Corporate Finance,Finance,Free,Beginner,2025,5,May,2,Tuesday
